marker,file,lines_matched,category
"governance_views","./.github/workflows/housekeeping-prod-promotion.yml","3","governance"
"governance_views","./.github/workflows/housekeeping-staging-selfcontained.yml","3","governance"
"governance_views","./applications/APP001/codebase/README.md","2","governance"
"governance_views","./database/schema/011_extend_existing_tables.sql","1","governance"
"governance_views","./db/migrations/vh/202509221340__vh_ingest_governance_views.sql","1","governance"
"governance_views","./db/seeds/ci_smoke_seed.sql","2","governance"
"governance_views","./db/views/eng/v_eng_trace.sql","1","governance"
"governance_views","./db/views/vh/v_vh_governance_snapshot.sql","1","governance"
"governance_views","./db/views/vh/v_vh_stage_progress.sql","2","governance"
"governance_views","./docs/EHG/README.md","3","governance"
"governance_views","./docs/EHG/data-contracts/venture_entities.md","2","governance"
"governance_views","./docs/EHG_Engineering/README.md","2","governance"
"governance_views","./docs/EHG_Engineering/data-contracts/backlog.md","1","governance"
"governance_views","./docs/EHG_Engineering/data-contracts/product_requirements.md","1","governance"
"governance_views","./docs/EHG_Engineering/data-contracts/strategic_directives.md","2","governance"
"governance_views","./ops/checks/assert_ci_smoke.sql","2","governance"
"governance_views","./ops/checks/backlog_integrity.sql","1","governance"
"governance_views","./ops/checks/backlog_integrity_staging.sql","1","governance"
"governance_views","./ops/checks/vh_ideation_integrity_staging.sql","6","governance"
"governance_views","./ops/checks/vision_alignment_staging.sql","4","governance"
"governance_views","./ops/jobs/hydrate_vh_linkage.sql","2","governance"
"evidence_chain","./.github/workflows/housekeeping-staging-selfcontained.yml","1","governance"
"evidence_chain","./db/migrations/eng/202509221300__eng_sd_metadata.sql","6","governance"
"evidence_chain","./db/seeds/ci_smoke_seed.sql","3","governance"
"evidence_chain","./db/seeds/integrity_gaps_seed.sql","1","governance"
"evidence_chain","./docs/EHG_Engineering/README.md","1","governance"
"evidence_chain","./docs/EHG_Engineering/data-contracts/strategic_directives.md","3","governance"
"evidence_chain","./docs/vision/rubric.yaml","2","governance"
"evidence_chain","./ops/backfill/eng_backfill_governance.sql","10","governance"
"evidence_chain","./ops/checks/backlog_integrity.sql","3","governance"
"evidence_chain","./ops/checks/backlog_integrity_staging.sql","5","governance"
"evidence_chain","./ops/checks/vision_alignment_staging.sql","5","governance"
"evidence_chain","./scripts/generate-workflow-docs.js","1","governance"
"evidence_chain","./scripts/update-sds-backlog-stage1.js","2","governance"
"evidence_chain","./src/services/database-loader/strategic-loaders.js","4","governance"
"sd_prd_queries","./.cursor/rules/leo_protocol_basic.md","1","governance"
"sd_prd_queries","./.github/workflows/boundary-lint.yml","4","governance"
"sd_prd_queries","./.github/workflows/housekeeping-prod-promotion.yml","1","governance"
"sd_prd_queries","./.github/workflows/housekeeping-staging-selfcontained.yml","1","governance"
"sd_prd_queries","./.github/workflows/schema-drift.yml","1","governance"
"sd_prd_queries","./AI_GUIDE.md","4","governance"
