venture_id,sd_id,current_execution_order,suggested_execution_order,wsjf_score,rationale
,SD-007,,1,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-042,,2,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-TEST-CODEX-1758340937843,,3,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-003-dashboard,1,4,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-048,,4,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-2025-01-15-A,1,4,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-2025-001,1,4,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-DASHBOARD-UI-2025-08-31-A,1,4,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-DASHBOARD-AUDIT-2025-08-31-A,2,5,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-034,,5,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-024,,6,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-018,,7,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-043,,9,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-035,,10,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-002,,11,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-050,,12,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-2025-0903-SDIP,,13,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-046,,14,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-021,,15,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-028,,16,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-019,,17,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-025,,18,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-2025-0904-JSY,,19,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-004,,20,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-027,,21,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-038,,22,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
