filename,total_loc,hedge_typically,hedge_ideally,hedge_consider,hedge_should,hedge_may,hedge_could,total_hedges,hedges_per_1000_loc
".claude/agents/api-agent.md",315,0,0,2,1,0,0,3,9.52
".claude/agents/database-agent.md",727,0,0,0,7,2,1,10,13.76
".claude/agents/dependency-agent.md",606,0,0,1,1,1,0,3,4.95
".claude/agents/design-agent.md",646,0,0,3,2,1,0,6,9.29
".claude/agents/docmon-agent.md",246,0,0,0,2,1,0,3,12.20
".claude/agents/github-agent.md",518,0,0,0,0,0,3,3,5.79
".claude/agents/orchestrator-child-agent.md",124,0,0,0,0,0,0,0,0.00
".claude/agents/performance-agent.md",197,0,0,0,0,0,1,1,5.08
".claude/agents/rca-agent.md",629,0,0,0,2,2,1,5,7.95
".claude/agents/regression-agent.md",316,0,0,0,1,0,0,1,3.16
".claude/agents/retro-agent.md",663,0,0,0,5,1,1,7,10.56
".claude/agents/risk-agent.md",242,0,0,1,0,1,0,2,8.26
".claude/agents/security-agent.md",237,0,0,0,0,1,0,1,4.22
".claude/agents/stories-agent.md",576,0,0,2,1,2,0,5,8.68
".claude/agents/testing-agent.md",401,0,0,0,0,1,0,1,2.49
".claude/agents/uat-agent.md",168,0,0,0,0,0,0,0,0.00
".claude/agents/validation-agent.md",557,0,0,0,2,3,0,5,8.98
AGGREGATE,7168,0,0,9,24,16,7,56,7.81
