filename,total_loc,hedge_typically,hedge_ideally,hedge_consider,hedge_should,hedge_may,hedge_could,total_hedges,hedges_per_1000_loc
".claude/commands/assist.md",306,0,0,0,1,1,0,2,6.54
".claude/commands/batch.md",70,0,0,0,0,0,0,0,0.00
".claude/commands/brainstorm.md",2077,0,0,0,7,3,2,12,5.78
".claude/commands/claim.md",292,0,0,1,0,1,0,2,6.85
".claude/commands/context-compact.md",143,1,0,0,0,0,0,1,6.99
".claude/commands/coordinator.md",523,0,0,0,2,3,2,7,13.38
".claude/commands/distill.md",763,0,0,1,6,0,0,7,9.17
".claude/commands/doc-audit.md",116,0,0,0,0,0,0,0,0.00
".claude/commands/document.md",1236,1,0,0,3,2,1,7,5.66
".claude/commands/execute.md",199,0,0,0,0,0,0,0,0.00
".claude/commands/feedback.md",24,0,0,0,0,0,0,0,0.00
".claude/commands/friday.md",83,0,0,0,0,0,0,0,0.00
".claude/commands/gate-debug.md",282,0,0,0,0,0,1,1,3.55
".claude/commands/handoff-in.md",104,0,0,0,0,1,0,1,9.62
".claude/commands/handoff-out.md",47,0,0,0,0,0,0,0,0.00
".claude/commands/heal.md",242,0,0,0,1,0,0,1,4.13
".claude/commands/inbox.md",269,0,0,0,1,0,0,1,3.72
".claude/commands/learn.md",307,0,0,0,1,0,0,1,3.26
".claude/commands/leo.md",675,0,0,0,0,0,0,0,0.00
".claude/commands/leo-cleanup.md",149,0,0,0,0,0,0,0,0.00
".claude/commands/leo-resume.md",85,0,0,0,0,0,0,0,0.00
".claude/commands/leo-settings.md",81,0,0,0,0,0,0,0,0.00
".claude/commands/prove.md",544,1,0,0,0,0,0,1,1.84
".claude/commands/quick-fix.md",233,0,0,0,1,0,0,1,4.29
".claude/commands/rca.md",235,1,0,0,1,0,0,2,8.51
".claude/commands/read-full.md",47,0,0,0,0,0,0,0,0.00
".claude/commands/restart.md",103,0,0,0,0,0,0,0,0.00
".claude/commands/sd-create.md",128,0,0,0,0,0,0,0,0.00
".claude/commands/sd-start.md",434,0,0,0,1,5,0,6,13.82
".claude/commands/ship.md",857,0,0,1,0,4,0,5,5.83
".claude/commands/simplify.md",217,0,0,1,0,0,0,1,4.61
".claude/commands/status.md",72,0,0,0,0,0,0,0,0.00
".claude/commands/triangulation-protocol.md",390,0,0,0,2,0,0,2,5.13
".claude/commands/uat.md",339,0,0,0,1,0,0,1,2.95
AGGREGATE,11672,4,0,4,28,20,6,62,5.31
